iterrations;100;;;;;;;;;;;;
name;u_th;u_max;u_0;u_min;u_reb;v_00;v_01;v_10;v_11;v_reb;u;d;w
ton_0;0.6;0.9;0;0;-9999;-100;0.378000532;0.58004388;100;500;0;[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0, -0.9622436217593204, -0.06835827772495984, 0.9871322831401066, -0.5431257095937294, -0.9764675904548537, -0.9404240777369317, 0.8606079333544099, -0.9370403414911417, 0.05405118793663566, -0.9185053920412793, 0.8122140422690671, -0.6972504402179531, -0.13127564426902905, 0.022543865314563094, -0.24640295351600416, 0.18553019504052437, -0.8171754675686831, -0.7309334683407427, -0.9635080327644985, -0.293352132099006, -0.8622434047786254, -0.9846811643470117, 0.26397358613670296, 0.9102832453694671, 0.9736262112883525, -0.8942003444758362, -0.6150929162123584, -0.44789356869403374, 0.7199545626376012, -0.6472264678505082, 0.014930585008282593, -0.5508281300026634, 0.7612147876063049, -0.4494311721313462, 0.16702824931670102, 0.4756227503853323, 0.5896174815093969, 0.4830124301162224, -0.6830124737509349]]
ton_1;0.6;0.9;0;0;-9999;-100;0.341315444;0.578383329;100;500;0;[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.32857052278549825, 0, 0.7725702030666695, 0.7549560603543448, 0.5819432097563444, -0.3743516709661887, 0.2563860390626782, 0.23381906383439022, -0.9610504143159253, -0.38546344100669216, -0.8617769253255245, 0.9660371426822594, -0.1253333080426029, 0.13257775500932212, 0.08660011879449869, -0.6070060872522205, 0.972824593406856, -0.8511555996570619, -0.9690434016243163, 0.6028121067130605, 0.03949422563205607, 0.9331576540050719, 0.3028038701362077, 0.3014514173240279, -0.6802604125817995, -0.680018545336021, 0.49572282319242045, -0.7945734026066424, 0.5826528013916366, -0.5559180973628244, -0.37520944105432785, 0.9029931706493213, -0.6084962625635235, 0.9411460962577332, 0.8429244936829972, 0.6496869904300762, -0.9738453580015547, -0.6851631330815118, -0.2802514930402549, -0.9909142154079809]]
ton_2;0.6;0.9;0;0;-9999;-100;0.579270992;0.433580427;100;500;0;[[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.9792457802142625, 0.2552817265287852, 0, 0.6756753779148106, 0.6473162145057811, -0.33570162985905716, 0.7145379080983527, -0.19110790786863285, -0.46367949627323424, 0.43761283358983327, -0.9372353911656346, -0.3852386918249, -0.6186938068757526, 0.8556578279496694, -0.5880061182316167, -0.7280171974548364, -0.15054856029438235, -0.7858093174664516, -0.9436309039296407, 0.021334456402258617, -0.39228193407542045, -0.9456127518274875, -0.1865926726401428, -0.6040543322372254, 0.4658709658071032, -0.04838414128470969, 0.9250839780159772, 0.04315425569809439, -0.6715793087077677, 0.36066698051850365, 0.26379884241306684, -0.2548413392350788, 0.645625415483994, 0.9240823595503984, -0.9851080832633801, 0.3938433888571642, -0.2383146919318253, -0.5809968279178257, 0.677237682908993, 0.6517701265177647]]
ton_3;0.6;0.9;0;0;-9999;-100;0.497166409;0.473279033;100;500;0;[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[-0.11863219814619819, 0.06416728124331628, -0.6637569193236574, 0, -0.6186385059696171, 0.443757290110111, -0.769233162088528, -0.20360779803326223, -0.07404514510235116, -0.4302154228601178, 0.8698568898315648, 0.7755475833084202, 0.3539830606500882, 0.8735616506280333, 0.7333459691350233, -0.8373208108108505, -0.6029221980931556, 0.8273936326848816, -0.20061411628269976, -0.5048502592377708, 0.4632566691731008, -0.12475675649274987, 0.1407043072521672, 0.3435030953356808, 0.8443260975248368, -0.05257007906354394, 0.6162385863346429, 0.9443428380408436, -0.21268402534335973, 0.7153929739885116, -0.19771322584574968, -0.6801735576240231, 0.8097772141609685, -0.917685652894962, 0.5995842616303841, 0.8495078512722227, 0.0017059443650071504, -0.34631713399629294, -0.5951836206989283, -0.5227416363152908]]
ton_4;0.6;0.9;0;0;-9999;-100;0.547085322;0.317497228;100;500;0;[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.4708907068545951, -0.2551063722398339, 0.19352876042286304, 0.2479876521695965, 0, 0.3822488423207613, -0.38188347964262337, 0.4786526353668905, -0.766804228635023, -0.34675290999551533, -0.27594764769361624, 0.37268657783049397, -0.8738218647428229, 0.23250466386304725, -0.9398335917018412, -0.9852488934042927, 0.5585699151579655, -0.9155023101286948, -0.02042883724990041, -0.4687149524299412, 0.5032434749710704, -0.05751364283653704, -0.1899120442957889, -0.6864934855264213, 0.7649820981893285, -0.34281244435875635, 0.27059236592250624, -0.27888998634389295, 0.6751396552098641, -0.6129948880916445, 0.18276440383299342, 0.2761407018175721, 0.5528715665823092, -0.9386194414655407, 0.6946713450363529, -0.3019133314458904, 0.4101167401043171, 0.3022700348581555, 0.9551726057837919, -0.4203578528742813]]
ton_5;0.6;0.9;0;0;-9999;-100;0.332623106;0.546955595;100;500;0;[[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[-0.5702021903111412, 0.4192297913851275, -0.851895417967077, 0.7541925536075242, 0.3791727475045814, 0, -0.99156165481746, -0.7779776496353958, 0.21924433860399706, 0.19335978755559569, 0.9848369662805938, 0.01937693569245469, 0.4636998273206627, 0.229128039492132, -0.9646213636452736, -0.8301555599938544, 0.6032365000028268, 0.7098837884406759, 0.28742744183930524, 0.4599822637852682, -0.4759331839698884, -0.682354606322152, 0.4667845286229664, 0.5122209505413169, 0.8742514101590513, -0.7856820452126174, -0.8971291921699651, 0.12088721992737028, 0.9201894314797547, -0.5177298277979141, -0.5076534460941438, 0.5775361068885585, 0.22277885129828734, 0.9712990433524917, 0.591564584015323, 0.24153967764146933, -0.8217183185141608, -0.4970982242192712, -0.5385995943330961, 0.35756749708633095]]
ton_6;0.6;0.9;0;0;-9999;-100;0.381368681;0.361242299;100;500;0;[[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.754858816535066, 0.7398572886627892, 0.7611591003648248, -0.9607512718972027, 0.5609117506151271, -0.30837491307974463, 0, -0.16754944625714718, -0.454995065201258, 0.880732051627078, -0.3035112389093533, 0.8617477705484138, -0.7765206373569449, 0.07487377724950184, 0.06360040271466527, -0.5342401413752105, -0.5898149265208577, -0.8432485568131374, -0.0969364359980096, -0.23402192913056563, 0.5956895818695316, 0.13783625152717316, -0.1051179646686402, -0.06844643669941064, -0.7878177583756609, 0.94387289832858, 0.8089358097915289, 0.33572413838063153, -0.3362559783185721, 0.3006948450864604, -0.22672116131516318, 0.1340244709703753, 0.9244685673922599, 0.45800832870350683, 0.6347444153989505, 0.6568594654666828, -0.08267609300373113, 0.6967852924680802, -0.11665292336123234, -0.68442069123744]]
ton_7;0.6;0.9;0;0;-9999;-100;0.401289791;0.474510286;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[-0.30520164217384016, 0.6928396136152142, -0.7539278329575507, -0.4004226897493559, 0.6958152128052912, 0.17812767696316167, -0.6184772792183622, 0, 0.26864981337833327, -0.605253730191323, 0.7538961204613994, 0.8600941124805686, -0.0367513364096963, 0.6277875964870987, -0.47940597262678386, 0.5088953113628913, -0.6831726370586613, -0.46877388427432387, 0.891902670244884, 0.985161219540662, 0.27346060022650853, 0.4492667513969202, 0.8082433739639525, -0.8578323865271493, 0.8086685918215659, -0.3334515110956153, 0.9863757970985572, 0.08589922255794247, -0.8992007770610753, 0.24286769465447966, -0.13037717850302033, -0.16561664111691332, 0.5371651812725786, 0.3779797418510542, -0.0038881546049378546, -0.8032272984471422, 0.08572258662886667, -0.6765694583016484, -0.7044417229260094, -0.5734044163904768]]
ton_8;0.6;0.9;0;0;-9999;-100;0.309776377;0.522684572;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.8883991715183834, 0.07321818703504857, -0.19118681594177844, -0.6886211472931463, 0.4545546591977705, 0.7162431656592467, -0.7731960130813098, 0.8670297862772909, 0, -0.28415706501709126, -0.7613260933905803, -0.22975069504358636, -0.4363569665220346, -0.6598778612976186, 0.8938687325178418, -0.2036389481292742, 0.9766492860571461, -0.5786526468853406, -0.3580089503468211, -0.463298654893221, -0.3730296443726284, -0.5629354902862447, 0.8227772361463406, 0.6902459995313075, 0.7769802787902131, -0.6692834540546473, 0.5171404854356358, -0.4221777555116031, -0.30168649315131324, -0.45862250298511453, 0.6694740360294202, 0.7068972731218934, 0.3854237227749284, 0.15799654559433995, 0.3394284030302772, -0.6130008841664059, -0.8870248432682135, -0.3009405743389155, -0.7171406712842892, 0.3523245178784009]]
ton_9;0.6;0.9;0;0;-9999;-100;0.460963236;0.466958753;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[-0.18782639999014905, 0.03453784313988795, 0.9832317690042869, -0.06984590633597709, 0.4083717039982768, 0.45301495466611486, 0.7427611673528434, -0.09250050493116824, -0.6127532037809793, 0, 0.3717910273443543, 0.7155938593329432, -0.8324445136304086, 0.4472954335317436, -0.9167590342860619, 0.12050814390144171, 0.9709571785727733, 0.3491108471889566, -0.9155636042104627, 0.4494409138521538, -0.15904271648344137, -0.8937452155721273, -0.44131888179517986, -0.2642900032535278, 0.12233630154743191, -0.8123704296497078, -0.6742321090816104, 0.42708600033528765, 0.2994407479495762, -0.5576487013807065, 0.6382570789957034, -0.5231170029384677, -0.25738624365246654, 0.21144331356526447, -0.8849238990078556, -0.8528559563590157, 0.09915069893903472, -0.2501999826212984, -0.7642445068388044, 0.9338172466915697]]
ton_10;0.6;0.9;0;0;-9999;-100;0.534591591;0.408834082;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[-0.27298350753016876, 0.21405459981660857, -0.6660739522778321, -0.39750596266647253, 0.17093390131984587, -0.7064214419257089, -0.012720224907224686, 0.6637666440910481, -0.919923137799616, -0.3607127548346536, 0, -0.2570770966965439, -0.38542166489063634, -0.12840180888620245, -0.3307845207236355, 0.9093965191293691, 0.8750524859883173, 0.636901657273768, 0.6292751010290034, -0.1934946886674438, 0.814674027395224, -0.9638102044925614, 0.6237673280174261, -0.932376965679524, 0.9665100180596167, -0.2250549142187721, 0.12976201132263587, 0.7770482688415954, -0.5236090817601229, 0.317983317600367, 0.6731253952845484, 0.7471349700564305, -0.47215075580657406, -0.9126465166419833, 0.7490181561203, -0.5293394516100074, -0.039404239376310324, -0.744206901055587, -0.5162339935665241, -0.36263885359164094]]
ton_11;0.6;0.9;0;0;-9999;-100;0.432876087;0.505049153;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.26196657631052167, -0.09798291907184109, 0.850511582470026, -0.7837930694306923, 0.7230742262049874, 0.26977678364279756, 0.8275949296230123, 0.6622720223368965, -0.06516109335948816, -0.029473670621713133, 0.9937403735156307, 0, 0.9674852155927982, -0.9863847228143934, 0.45507712746580564, 0.7010462853761796, 0.18295526694663145, -0.3264985532179119, -0.3245582900662878, 0.8464588717759329, 0.029817706016716183, -0.21798593805463584, -0.23175835260802358, -0.6860549173250221, -0.833869483375675, 0.44436100391463085, 0.12688378309952109, 0.9218689614109425, -0.013504282188386618, 0.8550395564282303, -0.7625181600898199, 0.4263402550845081, 0.8545829307771569, -0.9844779083752544, -0.3909957295317692, -0.36641901532937315, 0.7929548640248165, 0.9883792736628969, 0.18150162190437702, -0.942408619347505]]
ton_12;0.6;0.9;0;0;-9999;-100;0.337310772;0.389935743;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[-0.05855335391965277, 0.29816607334290746, 0.9620816866402846, 0.3526365302222674, -0.07351092561256367, 0.38041306795481056, -0.4207607725505038, -0.5189547335409057, -0.21891150846674434, -0.07114028351172696, -0.26454937104554266, -0.6903150513249103, 0, 0.6360120833606053, -0.5715177196222896, -0.10014310221327993, -0.1273066912450327, -0.019314975632374942, -0.20050136249919936, -0.49145301577750056, -0.5379742465429569, -0.011963454624323244, -0.852300168881017, 0.07126831507736942, 0.14236318613484533, -0.0030495773504555235, -0.9946678495449481, 0.9077842062024573, 0.666912620220397, 0.5131294189602948, 0.1508782073811512, -0.9427189087311005, 0.8408824894853728, 0.18025360785035494, 0.16218139386193164, -0.7539623748442765, 0.5809862906686636, -0.023696181525155957, 0.9395445051687497, -0.008485332297555992]]
ton_13;0.6;0.9;0;0;-9999;-100;0.353267049;0.385783221;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.0410263685727319, -0.5945675117531506, -0.4294953784798077, 0.5342343354187744, -0.27670792942058364, -0.03775076021333712, -0.1412854410348794, 0.9561810489593952, 0.4380022616766055, -0.0989350601010821, 0.1279706198331647, 0.9071135960818979, 0.34528264974280964, 0, 0.8950191869015105, 0.482299538272442, 0.09463012784922764, -0.4593585173229169, -0.6527421059608811, 0.5952897043830947, -0.28709686076509433, 0.9988353154000889, 0.449037448295982, 0.21256002854918044, 0.0718586596317703, 0.24966063991224208, 0.8204226781769963, 0.535979566801666, -0.012173752899298229, 0.49887863467844373, 0.7214428800410551, -0.4496576908564174, 0.9224444930013598, -0.8411264058175281, 0.3855662156807731, 0.7777285650982768, 0.4578140652605178, 0.4400478699078192, -0.472833328164707, -0.6822314001194112]]
ton_14;0.6;0.9;0;0;-9999;-100;0.596644196;0.404753506;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[-0.21349322438018015, -0.7892573890802097, 0.6450040985754457, -0.9917011862685565, 0.329687451084953, -0.7279564817024149, -0.5987035246334389, -0.7686272985779843, 0.3572738191747591, 0.9777159994917937, 0.2623677771369888, -0.6373509696275914, -0.10964054688248837, 0.12441193467121425, 0, -0.6983552554896872, 0.35248593224353186, 0.07092537341832372, 0.96453559551405, -0.098277848815014, 0.7517877613216202, 0.3966161893080766, 0.43036376969273626, -0.05126150718514477, 0.5355579145442178, 0.8383022823038218, 0.2995730350753911, 0.1452730609773032, 0.3854508482107737, -0.4608032451255577, -0.8360015283399171, -0.06922741506208885, 0.27587979232024473, -0.9409868606701399, 0.7778695717521247, -0.46068667460446333, -0.6996948663491376, -0.3370280168281439, 0.637737255441146, 0.7201319540449336]]
ton_15;0.6;0.9;0;0;-9999;-100;0.532919141;0.589380647;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.22045631112232056, -0.15600768584389768, -0.07018130875569795, -0.5473169718171906, -0.2578941025981436, -0.4401573292697769, 0.5833268662635953, -0.6514935680879945, 0.4556924757685954, -0.5578104370700439, 0.8438670229004608, 0.3650241122975917, 0.1853707280355672, 0.9273801636564376, -0.31330387095341306, 0, -0.7988105684550524, 0.8413943561950599, -0.46717206281673773, 0.5929719381474956, 0.198917903666755, 0.745456361945031, -0.40100840438871077, 0.9398759078689591, -0.5081899473198237, -0.8221820125167947, -0.5621174172185772, -0.026761902539883753, 0.6017387068623197, 0.4173944073948901, -0.4543081309089858, 0.2070871674772492, -0.38954008859246936, -0.07398444996444242, -0.555112880947467, 0.6656079520997338, -0.6475405321873675, 0.5070581337170945, -0.05271062979225771, -0.19053314133085308]]
ton_16;0.6;0.9;0;0;-9999;-100;0.413395912;0.420906523;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.6251127690370959, 0.5371580829679239, -0.16867967226407132, 0.297382999150436, -0.9637451094955556, 0.6397372666880499, 0.1720586907999997, -0.9148964465924099, 0.6421035542596087, -0.5021785591572945, 0.8856773989561126, 0.39747679121414436, 0.6256003769423779, -0.9406051332038927, -0.12967380138185347, 0.515167516646506, 0, -0.06482917017038958, -0.8113818148013019, 0.45103181457674646, 0.6137407585278958, -0.37196278698810525, 0.9131553555368261, 0.21624019094369373, 0.7657609862540029, -0.711419774323856, 0.7141331198584262, 0.10940880103378192, 0.5989392888401082, 0.2719132881350359, 0.2224532764800886, 0.03704126481956571, -0.32910374138560106, -0.7670881997436474, 0.6055230424683342, 0.8036419128815449, 0.12370774884110736, 0.19919954508690796, -0.6081219079800626, 0.4487680139320076]]
ton_17;0.6;0.9;0;0;-9999;-100;0.362282228;0.517346222;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.4076004684498751, -0.054368795726916996, -0.014691589988637732, -0.885593203739534, 0.17749740017947246, -0.25064943484866964, 0.9092309037510136, -0.5719699231591284, 0.8019088199574227, 0.9210321605106053, 0.3568220162918456, -0.6602979396596282, -0.4266154225697336, -0.6863480919683207, -0.7562970286480311, -0.8549977917924307, 0.8334230319404434, 0, 0.6762376060655035, 0.4122422052688639, 0.9724578191347555, -0.10886251566944649, 0.2113291110103077, -0.024358131342886002, 0.7468294329915175, 0.16596094977094644, -0.017960984286700565, 0.7430347971227174, -0.8165528489943359, 0.32285705805965326, -0.30786367260428604, 0.5571083708548963, -0.5828193325174131, -0.8702312526565104, 0.957268503783786, 0.07075359266967585, -0.1695127704648267, -0.8040418215325593, 0.4210780936397742, 0.677267242473669]]
ton_18;0.6;0.9;0;0;-9999;-100;0.355509141;0.474915383;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.9339843165025916, -0.7472634008436378, 0.6035427660390424, 0.8566015203105604, -0.8072341719804024, 0.02125331894854332, -0.554464432053694, -0.49619693934441944, -0.34132633138747126, -0.22618014411741738, 0.057707241003886356, -0.6254839488426682, -0.7261342579655754, 0.2460206928878177, 0.18211628285427395, 0.290246601277115, 0.0007689984406997752, -0.7426961213564309, 0, -0.28025296956498336, 0.7306004983879772, -0.932636471495135, 0.6765374151276016, 0.43811262683149454, -0.5608189295267376, 0.22238145013989463, 0.9691858711606058, 0.8904218128782875, 0.4081704785939415, -0.04614145623014432, -0.9640586593418492, -0.9461908389104787, 0.5542033339492201, 0.57293019961307, 0.1230358330083896, -0.5674154467714041, 0.019625801530976483, -0.009820747527112594, -0.002188085537915052, -0.04705794406743169]]
ton_19;0.6;0.9;0;0;-9999;-100;0.40495703;0.333889059;100;500;0;[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[[0.5825766162818571, 0.9470358803938888, -0.7026546501840316, 0.5619556000154611, -0.11711820078743229, 0.5868149878749538, 0.4610051763587333, -0.4609024682230769, 0.31485433137444097, -0.22225580407192913, -0.810141380550873, -0.47767228016194485, -0.589091073549556, -0.5970181694506469, 0.10291296114608772, -0.469804748467336, -0.7160600360243339, 0.0949634371404835, 0.12476806709591837, 0, -0.061276526502181516, -0.20397225845361278, 0.7660364840908909, -0.472749210711924, 0.4323204311962283, 0.5402789451062722, 0.7756248357953344, 0.022303637207638616, -0.2716300195185528, -0.4366873412708132, 0.3441427966752546, -0.606670241272329, -0.7645467879344572, -0.7503120809793304, -0.8871991079226127, -0.995785664178177, -0.29678333068067, 0.33029743516565824, -0.8923560897500116, -0.9283523956744963]]
